,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,predictions
0,-122.23,37.88,41.0,880.0,129.0,322.0,126.0,8.3252,NEAR BAY,429786.6666666667
1,-122.22,37.86,21.0,7099.0,1106.0,2401.0,1138.0,8.3014,NEAR BAY,371786.6666666667
2,-122.24,37.85,52.0,1467.0,190.0,496.0,177.0,7.2574,NEAR BAY,369120.0
3,-122.25,37.85,52.0,1274.0,235.0,558.0,219.0,5.6431,NEAR BAY,329076.6666666667
4,-122.25,37.85,52.0,1627.0,280.0,565.0,259.0,3.8462,NEAR BAY,304873.3333333333
5,-122.25,37.85,52.0,919.0,213.0,413.0,193.0,4.0368,NEAR BAY,260423.33333333334
6,-122.25,37.84,52.0,2535.0,489.0,1094.0,514.0,3.6591,NEAR BAY,288496.6666666667
7,-122.25,37.84,52.0,3104.0,687.0,1157.0,647.0,3.12,NEAR BAY,241163.33333333334
8,-122.26,37.84,42.0,2555.0,665.0,1206.0,595.0,2.0804,NEAR BAY,222110.0
9,-122.25,37.84,52.0,3549.0,707.0,1551.0,714.0,3.6912,NEAR BAY,265670.0
10,-122.26,37.85,52.0,2202.0,434.0,910.0,402.0,3.2031,NEAR BAY,244406.66666666666
11,-122.26,37.85,52.0,3503.0,752.0,1504.0,734.0,3.2705,NEAR BAY,255910.0
12,-122.26,37.85,52.0,2491.0,474.0,1098.0,468.0,3.075,NEAR BAY,222060.0
13,-122.26,37.84,52.0,696.0,191.0,345.0,174.0,2.6736,NEAR BAY,207066.66666666666
14,-122.26,37.85,52.0,2643.0,626.0,1212.0,620.0,1.9167,NEAR BAY,207556.66666666666
15,-122.26,37.85,50.0,1120.0,283.0,697.0,264.0,2.125,NEAR BAY,132196.66666666666
16,-122.27,37.85,52.0,1966.0,347.0,793.0,331.0,2.775,NEAR BAY,164493.33333333334
17,-122.27,37.85,52.0,1228.0,293.0,648.0,303.0,2.1202,NEAR BAY,167726.66666666666
18,-122.26,37.84,50.0,2239.0,455.0,990.0,419.0,1.9911,NEAR BAY,137866.66666666666
19,-122.27,37.84,52.0,1503.0,298.0,690.0,275.0,2.6033,NEAR BAY,163580.0
20,-122.27,37.85,40.0,751.0,184.0,409.0,166.0,1.3578,NEAR BAY,141353.33333333334
21,-122.27,37.85,42.0,1639.0,367.0,929.0,366.0,1.7135,NEAR BAY,141216.66666666666
22,-122.27,37.84,52.0,2436.0,541.0,1015.0,478.0,1.725,NEAR BAY,163356.66666666666
23,-122.27,37.84,52.0,1688.0,337.0,853.0,325.0,2.1806,NEAR BAY,134226.66666666666
24,-122.27,37.84,52.0,2224.0,437.0,1006.0,422.0,2.6,NEAR BAY,142873.33333333334
25,-122.28,37.85,41.0,535.0,123.0,317.0,119.0,2.4038,NEAR BAY,110603.33333333333
26,-122.28,37.85,49.0,1130.0,244.0,607.0,239.0,2.4597,NEAR BAY,127796.66666666667
27,-122.28,37.85,52.0,1898.0,421.0,1102.0,397.0,1.808,NEAR BAY,109180.0
28,-122.28,37.84,50.0,2082.0,492.0,1131.0,473.0,1.6424,NEAR BAY,110863.33333333333
29,-122.28,37.84,52.0,729.0,160.0,395.0,155.0,1.6875,NEAR BAY,126173.33333333333
30,-122.28,37.84,49.0,1916.0,447.0,863.0,378.0,1.9274,NEAR BAY,131450.0
31,-122.28,37.84,52.0,2153.0,481.0,1168.0,441.0,1.9615,NEAR BAY,119083.33333333333
32,-122.27,37.84,48.0,1922.0,409.0,1026.0,335.0,1.7969,NEAR BAY,107290.0
33,-122.27,37.83,49.0,1655.0,366.0,754.0,329.0,1.375,NEAR BAY,129456.66666666667
34,-122.27,37.83,51.0,2665.0,574.0,1258.0,536.0,2.7303,NEAR BAY,153070.0
